eid;study_id;authors;year;journal;ajg2024;doi;pdf;theoretical_lens;method;sample;country_region;industry;ai_measure;outcome_construct;performance_measure;ca_measure;effect_direction;conditions;key_finding;quality_notes;coding_status
2-s2.0-86000428379;S36;"Huang C.K.; Lin J.S.";2025;Managerial and Decision Economics;2;10.1002/mde.4486;Huang_2025_mde-4486.pdf;business value of IT;panel econometrics;"S&P 500 firms: 50 AI adopters (23 first movers, 27 followers) identified via 97 manually screened AI-implementation news items + non-adopter controls; Compustat 2010-2017, baseline 2017";USA;cross-industry;news announcements (manually verified AI implementation);performance;financial ratios (Compustat), productivity, market value (Tobin q);;mixed;"indicator-specific: financial performance + market value positive, productivity insignificant; first movers show partly negative/insignificant effects (no uniform first-mover advantage)";AI implementation lifts financial performance and market value, but first movers and top performers do not benefit uniformly across all indicators.;"Small adopter sample (n=50); author affiliation Taiwan but sample = US S&P 500";final
2-s2.0-85214228464;S37;"Kumar A.; Shankar A.; Hollebeek L.D.; Behl A.; Lim W.M.";2025;Journal of Business Research;3;10.1016/j.jbusres.2024.115160;Kumar_2025_j-jbusres-2024-115160.pdf;behavioral reasoning theory;survey-SEM;"Study 1: in-depth interviews; Study 2: SEM on 277 B2B managers across USA, UK, Canada, India, Australia, Malaysia, Japan";multi-country (7 countries);cross-industry (B2B);survey construct (GenAI adoption);performance;perceived firm performance (survey scale);;positive;"ethical leadership (moderator of GenAI adoption -> performance); adoption reasons for/against (uniqueness, information completeness, convenience, deceptiveness)";GenAI adoption boosts perceived firm performance, more strongly under ethical leadership.;"Two-study design: Study 1 qualitative (adoption reasons -> hypotheses, own findings Fig. 1), Study 2 SEM n=277 tests AI->performance; perceptual, multi-country";final
2-s2.0-85216780033;S38;"Mehta P.; Chakraborty D.; Rana N.P.; Mishra A.; Khorana S.; Kooli K.";2025;Journal of Business and Industrial Marketing;2;10.1108/JBIM-03-2024-0205;Mehta_2025_JBIM-03-2024-0205.pdf;trait theory + KAM (key account management);mixed;"Phase 1: 26 key-account-manager interviews (automobile); Phase 2: survey n=496, SEM";India;automobile (B2B/KAM);survey construct (adoption of AI technologies by key account managers);both;firm performance (survey scale);competitive advantage (survey scale, modeled as mediator);positive;"manager personality traits (Big Five) drive adoption; competitive advantage mediates adoption -> performance; organizational culture moderates (agreeableness -> adoption)";Individual personality traits shape AI adoption in key account management, which converts into firm performance through competitive advantage - culture conditions the path.;"Firm-level outcomes from individual-level adoption antecedents; perceptual | SAMPLE-CHECK OK: CA modeled as own mediator construct (H9), both/positive confirmed";final
2-s2.0-105024691136;S39;"N. Tehrani A.; Roy S.K.";2025;European Journal of Marketing;3;10.1108/EJM-06-2024-0535;N_2025_EJM-06-2024-0535.pdf;dynamic capabilities / marketing agility;survey-SEM;335 companies across industries, PLS-SEM;Australia;cross-industry;survey construct (AI-based stakeholder engagement);performance;firm performance (survey scale);;positive;"marketing agility (mediator); technological turbulence AMPLIFIES the positive effects (high-turbulence environments gain more)";AI-based stakeholder engagement improves performance through marketing agility - and the payoff is largest in technologically turbulent environments.;Perceptual, cross-section;final
2-s2.0-105001080431;S40;"Sandeep M.M.; Lavanya V.; Balakrishnan J.";2025;Journal of Intellectual Capital;2;10.1108/JIC-05-2024-0155;Sandeep_2025_JIC-05-2024-0155.pdf;RBV + dynamic capability framework;survey-SEM;290 HR professionals in talent acquisition, purposive sampling, South India, PLS-SEM;India (South India);cross-industry (HR/recruitment function);survey construct (AI adoption in recruitment);competitive_advantage;;perceived competitive advantage from AI-enabled recruitment (survey scale);positive;"HR competencies + open innovation -> dynamic capabilities (mediator); financial support + IT infrastructure as enabling resources";AI adoption in recruitment yields competitive advantage only where dynamic capabilities, built from HR competencies and open innovation with financial/IT support, are in place.;"Perceptual; function-level (recruitment) with org-level outcome | SAMPLE-CHECK OK: CA measured via established scales (Appendix 1), competitive_advantage confirmed";final
2-s2.0-105021114926;S41;"Shi Y.; Wu T.; Qin C.; Liu B.";2025;International Review of Financial Analysis;3;10.1016/j.irfa.2025.104694;Shi_2025_j-irfa-2025-104694.pdf;RBV + dynamic capabilities + stakeholder perspective;panel econometrics;"Chinese listed companies 2010-2022 (~22,900 firm-year obs); Heckman correction, endogeneity tests";China;cross-industry (listed firms);annual-report text (Word2vec-based AI dictionary) + secondary measure;performance;enterprise value (Tobins Q);;positive;"data assets mediate 45.6% (direct effect 0.0483*** remains); managerial capability moderates; boundary nulls: heavily polluting industries insignificant (unless credible green transition), asset-intensive firms null; SOE premium 0.035*** vs non-SOE 0.019**";AI adoption raises enterprise value through data assets, and only under capable management and agile (non-asset-heavy) structures - the study explicitly maps when AI becomes a source of advantage.;"Causal robustness checks; very high RQ fit (boundary conditions explicit)";final
2-s2.0-85208794678;S42;"Song D.; Deng Z.; Wang B.";2025;Industrial Management and Data Systems;2;10.1108/IMDS-02-2024-0076;Song_2025_IMDS-02-2024-0076.pdf;expectation (dis)confirmation / IS failure literature;event study;120 AI service failure events 2010-2024 at NYSE/NASDAQ-listed companies (from 451 initial events);USA;cross-industry;announcements (AI service FAILURE events);performance;firm value (negative abnormal returns);;negative;"small firms hit harder; recent years more negative; failure-type order effect: accuracy > safety > privacy > fairness";"AI service failures destroy market value - most for small firms and accuracy failures; the downside risk of AI implementation is real and priced.";"Event study; unique downside-risk evidence | SAMPLE-CHECK OK: event study/negative confirmed (NYSE/NASDAQ failure events)";final
2-s2.0-105025121983;S43;"Tao Y.; Muhammad Muneeb F.; Wanke P.F.; Tan Y.";2025;Journal of Business and Industrial Marketing;2;10.1108/JBIM-09-2024-0706;Tao_2025_JBIM-09-2024-0706.pdf;dynamic capabilities theory;survey-SEM;291 B2B manufacturing firms, multi-wave multi-source, SEM;China;manufacturing (B2B);survey construct (big data analytical intelligence assimilation + AI capabilities);performance;new product performance (survey scale);;positive;"AI capabilities (mediator: BDAI assimilation alone insufficient); electronic supply-chain collaboration (moderator, strengthens the indirect effect)";Big-data/AI assimilation lifts new product performance only when converted into AI capabilities, and more so with electronic supply-chain collaboration.;"Multi-wave, multi-source (stronger than single-informant) | SAMPLE-CHECK OK with caveat: total effect BDAI->NPP 0.24*** significant, indirect via AI capabilities 0.15* - partial mediation, positive stands per main-effect rule; direct-path row not explicit in text (borderline to conditional)";final
2-s2.0-85186594728;S44;"Tingbani I.; Salia S.; Hartwell C.A.; Yahaya A.";2025;International Journal of Finance and Economics;3;10.1002/ijfe.2945;Tingbani_2025_ijfe-2945.pdf;none explicit (labour economics framing);panel econometrics;"1,950 unique US firms, 1996-2016, Compustat; system GMM";USA;cross-industry;resume/job-based AI workforce measure (Fedyk & Hodson 2023 approach);performance;firm growth (sales growth);;conditional;"labour market conditions: labour productivity amplifies growth effect; labour cost and labour share weaken it (10% AI investment increase -> +0.04% growth on average)";AI investment raises firm growth modestly, and the payoff hinges on labour-market conditions - productivity-rich, labour-cost-light firms capture it.;"GMM; small average effect size worth noting in synthesis";final
2-s2.0-105023533130;S45;"Adams J.J.; Fang M.; Liu Z.; Wang Y.";2026;Journal of Monetary Economics;4;10.1016/j.jmoneco.2025.103875;Adams_2026_j-jmoneco-2025-103875.pdf;information economics (monopolist pricing model);panel econometrics;"US firms matched to Lightcast job postings 2010Q1-2024Q1 (40,000+ job boards); AI-pricing jobs identified";USA;cross-industry;job postings (AI-skill + pricing keyword = AI pricing adoption);performance;"growth in sales, employment, assets, markups; stock-return response to monetary policy";;positive;"adoption concentrated in larger, more productive firms; adopters more responsive to monetary policy surprises";Firms adopting AI-powered pricing grow faster in sales, employment and markups - AI pricing is a capability large productive firms exploit first.;"Novel job-postings measure; macro-finance angle (JME 4)";final
2-s2.0-105041260724;S46;"Agag G.; Al Zaabi A.; Eid R.";2026;Tourism Management;4;10.1016/j.tourman.2026.105470;Agag_2026_j-tourman-2026-105470.pdf;RBV + tournament theory;panel econometrics;"1,206 UK listed tourism/travel/hospitality firms, 7,539 firm-years 2018-2024; two-step system GMM";UK;tourism, travel & hospitality;AI human capital (AI-skilled workforce measure);performance;"firm value; wage inequality as mediating channel";;positive;"wage inequality partially mediates (AIHC compresses inequality -> value); stronger in dynamic/complex industries; sector split: value effect strongest in travel, inequality compression in hospitality";AI human capital raises firm value partly by compressing wage inequality - a workforce-centered pathway to AI-enabled advantage, strongest in dynamic sectors.;"GMM with Windmeijer correction; sectoral heterogeneity";final
2-s2.0-105017604939;S47;"Alnofeli K.K.; Akter S.; Yanamandram V.; Hani U.";2026;International Journal of Information Management;2;10.1016/j.ijinfomgt.2025.102981;Alnofeli_2026_j-ijinfomgt-2025-102981.pdf;dynamic capabilities (microfoundations);survey-SEM;"3-stage: scoping review + expert interviews -> instrument; survey of 205 banking employees, SEM";Australia;banking;survey construct (AI-powered CRM capability, higher-order);both;profitability (survey scale);competitive advantage (survey scale);positive;marketing ambidexterity (mediator: exploration/exploitation balance carries the effect);AI-CRM capability lifts profitability and competitive advantage through marketing ambidexterity - capability without ambidexterity closes the value-realisation gap only partially.;"Perceptual; instrument development study | PROPOSED(batch): Scoping review + 24 expert interviews only IDENTIFY/CONFIRM construct dimensions (instrument development); hypotheses tested solely via survey n=205 (Kumar/Hossain class)";final
2-s2.0-105043565186;S48;"Arshad F.M.; Anderson S.W.; Dekker H.; Aguilar O.";2026;International Journal of Information Management;2;10.1016/j.ijinfomgt.2026.103097;Arshad_2026_j-ijinfomgt-2026-103097.pdf;complementarity theory;survey-based regression (two cross-sectional surveys);two survey datasets of large firms worldwide (RPA + AI implementation);multi-country;cross-industry (large firms);survey (joint implementation of RPA and AI);performance;"revenue growth (via price increases); cost reduction tested";;mixed;"component split: joint RPA+AI -> additional REVENUE growth (via price increases), NO additional cost reduction (joint term n.s.; individual techs do reduce costs); strategic revenue-growth intent amplifies revenue outcomes";Combining RPA and AI pays through revenue enhancement, not cost efficiency - and only for firms whose strategic intent targets growth.;"Pre-GenAI baseline explicitly noted by authors | PROPOSED(batch): Method verbatim per scheme rule (neither SEM nor panel): Study 1 = 2018 Deloitte survey n=1219 large firms worldwide + second survey; cross-sectional regressions";final
2-s2.0-105029745588;S49;"Bai X.; Zhao W.; Liu M.";2026;Pacific Basin Finance Journal;2;10.1016/j.pacfin.2025.103039;Bai_2026_j-pacfin-2025-103039.pdf;information asymmetry / behavioral finance;panel econometrics;"Chinese A-share listed firms; quasi-natural experiment (New-generation AI Pilot Zone Policy); pre-registered";China;cross-industry (listed firms);policy shock (AI pilot zone exposure) as exogenous AI investment driver;performance;stock price crash risk (up) + firm value (up);;mixed;"crash risk rises via reduced information transparency + managerial optimism; worse for low-transparency and resource-constrained firms; firm value gains may be short-term market optimism";Policy-driven AI investment inflates firm value but simultaneously raises crash risk - short-term valuation gains trade off against long-term stability.;Pre-registered + quasi-experiment (highest identification quality in corpus);final
2-s2.0-105039269551;S50;"Chen S.S.; Kim J.; Peng S.C.";2026;Journal of Empirical Finance;3;10.1016/j.jempfin.2026.101730;Chen_2026_j-jempfin-2026-101730.pdf;corporate finance (investment efficiency);panel econometrics;"US firms; AI mentions in earnings calls, validated vs 10-K; IV = textual proximity to university AI research; 2SLS";USA;cross-industry;earnings-call text (share of AI terminology in management remarks);performance;"corporate investment efficiency; Tobins q (long horizon)";;positive;"mechanisms: better sales forecasts, reporting quality, process/product innovation; data-privacy regulation exposure ATTENUATES the effect";"AI adoption improves how firms allocate capital - unless regulatory friction (data-privacy exposure) blunts it; value shows up in Tobins q only over longer horizons.";"IV design; regulation as boundary condition";final
2-s2.0-105029005436;S51;Dinh V.H.;2026;Industrial Marketing Management;3;10.1016/j.indmarman.2026.01.006;Dinh_2026_j-indmarman-2026-01-006.pdf;dynamic capabilities + KBV;mixed;sequential mixed-methods, 261 manufacturing SMEs;Vietnam (emerging markets);manufacturing SMEs;survey construct (AI-enabled knowledge capabilities);performance;new product performance (survey scale);;positive;"dual pathway: direct + via digital product innovation radicalness; digital sustainability leadership as BOTH mediator and moderator (reconfigures how AI creates value)";AI knowledge capabilities lift new product performance in emerging-market SMEs, with digital sustainability leadership as the critical boundary condition.;Perceptual, mixed methods;final
2-s2.0-105019404558;S52;"Filieri R.; Huang W.; Lin Z.; Xia Q.";2026;Journal of Product Innovation Management;4;10.1111/jpim.70014;Filieri_2026_jpim-70014.pdf;adversity-induced innovation theory (extended induced innovation) + stakeholder engagement;panel econometrics;"Chinese listed manufacturers + WTO tariff records + customs data 2015-2022; IV analysis";China;manufacturing (exporters);archival AI integration measure (tariff-induced);performance;supply chain efficiency, sales performance, market value;;conditional;"INVERTED U: AI performance benefits diminish at extreme tariff exposure (""optimal investment threshold""); customer engagement needs strengthen the effect (boundary condition); tariff exposure induces AI integration";Trade tensions push firms into AI integration that improves efficiency, sales and value - up to a threshold where adversity overwhelms the compensation.;"Causal (IV); geopolitics as condition - distinctive for discussion | PROPOSED(batch): S26 precedent: inverted-U = sign/size flip along adversity level -> conditional";final
2-s2.0-105026117270;S53;"Giordino D.; Ballesio E.; Alshaghdali N.; Galgotia D.";2026;Technological Forecasting and Social Change;3;10.1016/j.techfore.2025.124499;Giordino_2026_j-techfore-2025-124499.pdf;economic theory framework;panel econometrics;balanced panel, 432 European listed companies 2015-2023 (LSEG data), banks/insurers excluded;Europe;cross-industry (non-financial);organizational AI focus (archival, LSEG-based);performance;ROA + Tobins Q (+ ESG pillar scores);;positive;;Organizational AI focus goes hand in hand with better financial performance AND better E/S sustainability scores in European listed firms.;"Association study (no causal identification claimed) | PROPOSED(batch): No moderators/heterogeneity tested; E+S pillar gains and governance-null belong to performance_measure/key_finding (S09/S12 precedent -> unconditional-evidence group)";final
2-s2.0-105032687137;S54;Kazakis P.;2026;Scottish Journal of Political Economy;2;10.1111/sjpe.70055;Kazakis_2026_sjpe-70055.pdf;none explicit (efficiency analysis);panel econometrics;"US Compustat firms; efficiency via DEA (normalized ratio scores); labor-based AI investment measure";USA;cross-industry;labor-based AI investment measure;performance;firm efficiency;;conditional;"NO unconditional effect; gains only with: capable managers, stronger competitive pressure, stable institutional ownership, long-term debt access";"AI investment alone does nothing for efficiency - gains materialize exclusively under managerial, competitive, ownership and financing conditions (""Conditional Gains"").";"Cleanest single illustration of the thesis RQ - title literally ""Conditional Gains""";final
2-s2.0-105033074926;S55;"Li L.; Shi R.; Zhang R.; Chen L.";2026;International Journal of Production Economics;3;10.1016/j.ijpe.2026.110010;Li_2026_j-ijpe-2026-110010.pdf;organizational justice theory;survey-SEM;218 firms in supply chains;China;cross-industry (supply chains);survey construct (responsible AI adoption);competitive_advantage;;perceived competitive advantage (survey scale);conditional;"FULL mediation: direct responsible-AI -> CA path 0.091 n.s.; effect runs entirely via distributive + procedural justice; supply chain complexity weakens distributive path (-0.233***) but not procedural";Responsible AI builds competitive advantage through supply-chain justice - in complex networks, only procedural fairness remains a robust channel.;"Perceptual; ethics-as-condition angle | PROPOSED(batch): Leoni class: direct path n.s. in full text";final
2-s2.0-105029770923;S56;"Li L.; Wu M.; Liu Y.; Jin Y.; Li Q.";2026;Journal of Business Research;3;10.1016/j.jbusres.2026.115974;Li_2026_j-jbusres-2026-115974.pdf;affordance theory;survey-SEM;223 firms across industries, China, survey;China;cross-industry;survey construct (GenAI affordances: organizational memory, collaborative, creational);competitive_advantage;;perceived sustained competitive advantage (survey scale);positive;"three GenAI affordances mediate technological opportunism -> CA; competitive intensity amplifies ONLY the creational-affordance path";Technological opportunism converts into competitive advantage through GenAI affordances - under intense competition, only the creational affordance keeps paying.;"PDF re-downloaded 18 Jul (after dedupe-bug loss); Gemini re-run: FULL AGREEMENT survey-SEM/competitive_advantage/conditional - dispute void; perceptual cross-section";final
2-s2.0-105043395858;S57;"Lin M.; Chang C.L.; Zheng Z.; Fang M.";2026;Emerging Markets Finance and Trade;2;10.1080/1540496X.2026.2691898;Lin_2026_1540496X-2026-2691898.pdf;internal control / governance channel (no grand theory);panel econometrics;Chinese A-share listed companies, 2007-2022;China;cross-industry (listed firms);annual-report text-based AI adoption measure (authors explicitly contrast with patent/robot proxies);performance;total factor productivity;;positive;internal control quality (partial mediator: AI -> better governance/risk management -> TFP);AI raises firm productivity partly by improving internal control quality - governance is a transmission channel, not just a moderator.;"Robustness checks; mediation design";final
2-s2.0-105023874015;S58;"Lin N.; Li A.; Geng Y.; Yao J.; Liu C.";2026;International Review of Financial Analysis;3;10.1016/j.irfa.2025.104830;Lin_2026_j-irfa-2025-104830.pdf;corporate finance (investment efficiency);panel econometrics;Chinese listed firms;China;cross-industry (listed firms);tailored AI-keyword dictionary, novel text analysis of company reports;performance;investment efficiency + firm value;;positive;"stronger in high knowledge-intensity, high R&D-intensity firms and firms with sound internal controls; mechanisms: innovation capability + financial health";AI enhances investment efficiency and firm value most where knowledge intensity, R&D and internal controls provide absorptive capacity.;Mechanism analysis;final
2-s2.0-105034972564;S59;"Liu D.; Zou Y.; Wang B.; He X.";2026;International Review of Financial Analysis;3;10.1016/j.irfa.2026.105163;Liu_2026_j-irfa-2026-105163.pdf;RBV;panel econometrics;Chinese publicly listed firms, 2007-2024;China;cross-industry (listed firms);textual analysis of annual reports (CNINFO, jieba segmentation), ln(1+AI keyword frequency), following Mishra et al. 2022;performance;M&A likelihood (strategic outcome) + long-term firm value;;positive;stronger with abundant cash holdings, less-developed market environments, private ownership;AI adoption makes firms more acquisitive and raises long-term value - internal resources and institutional context set the boundary.;"Strategic-behaviour outcome plus value; RBV framing";final
2-s2.0-105043497908;S60;"Liu Z.; Weng Z.; Yu S.";2026;Technology in Society;2;10.1016/j.techsoc.2026.103434;Liu_2026_j-techsoc-2026-103434.pdf;institutional + contingency perspectives;mixed;"Study 1: multilevel survey of 420 firms (HLM); Study 2: vignette experiment with 360 managers";Asia-Pacific (multi-region);cross-industry;"survey construct (AI-enabled innovation); experimentally manipulated regulatory conditions";performance;productivity gains + firm growth;;positive;"regulatory climate moderates innovation->productivity link strength (clarity + supportive enforcement jointly maximize, moderated mediation); Study 2 experiment: causal evidence for regulatory conditions";AI-enabled innovation converts into productivity and growth only under clear, supportive regulation - institutional environment is the amplifier.;"Rare causal experiment component; institution-level condition | PROPOSED(batch): Direct AND indirect associations present, moderation = strength not existence (Shi rule) -> positive";final
2-s2.0-105041474395;S61;"Mukherjee S.; Panigrahi R.R.; Khan S.A.; Cotha K.";2026;International Journal of Quality and Reliability Management;2;10.1108/IJQRM-02-2025-0082;Mukherjee_2026_IJQRM-02-2025-0082.pdf;TAM + TOE;survey-SEM;312 valid responses from luxury hotels (lodging + food services);India;hospitality (luxury hotels);survey construct (AI adoption);performance;service performance (survey scale);;positive;;AI adoption lifts hotel service performance where ease of use, competitive pressure, infrastructure and policy support jointly create momentum.;"Perceptual, cross-section | PROPOSED(batch): TOE/TAM factors are ADOPTION antecedents, not conditions on the AI->performance link; AI adoption -> service performance positive main effect";final
2-s2.0-105027545838;S62;Patel P.C.;2026;Technological Forecasting and Social Change;3;10.1016/j.techfore.2026.124538;Patel_2026_j-techfore-2026-124538.pdf;transaction cost economics + organizational information processing;event study;"1,306 AI-scored service patents (of 758k patents) from 3,899 manufacturing firms, 1980-2020; matched-pair robustness";USA;manufacturing;patents (AI score of service technology patents);performance;stock market reaction to patent grants (negative abnormal returns);;negative;"idiosyncratic volatility mitigates the negative reaction; tangibility does not; effects only in 2010s/2020s (evolving market perception)";Markets react NEGATIVELY to AI-heavy service patents in manufacturing - a caution against assuming short-term market value from AI servitization.;"Long panel, robust; important negative-evidence anchor";final
2-s2.0-105022126895;S63;"Renfei C.; Zhongwen L.; Guangfei Y.; Wenli L.; Zitong G.";2026;Technovation;3;10.1016/j.technovation.2025.103429;Renfei_2026_j-technovation-2025-103429.pdf;dynamic capabilities + sustainable development theory;survey-SEM;"292 valid responses (295 distributed, two-stage collection; pretest 100/85), 120 Chinese manufacturing enterprises, PLS-SEM";China;manufacturing;survey construct (AI capabilities: perceptive, predictive, prescriptive);performance;corporate sustainability performance incl. explicit economic dimension (EP01-EP04: cost reduction, waste revenue, spin-offs);;positive;"prescriptive capabilities FAIL (component of AI-capability bundle null); firm type boundary: Industry-4.0 manufacturers 0.58*** vs traditional significantly WEAKER (but not null)";AI capabilities raise sustainability (incl. economic) performance mainly in Industry-4.0-ready manufacturers - prescriptive AI fails, and traditional firms barely benefit.;"Per full-text verdict: include (economic dimension confirmed); perceptual | PROPOSED(batch): Traditional firms weaker-not-null + main effect significant -> positive per Shi rule; prescriptive-null stays in conditions";final
2-s2.0-105041190098;S64;"Singh A.; Chakraborty M.; Singh V.";2026;Business Strategy and the Environment;3;10.1002/bse.71134;Singh_2026_bse-71134.pdf;none explicit (innovation economics + political economy);panel econometrics;"S&P 500 companies, 2000-2024; system-GMM + PSM robustness";USA;cross-industry (large caps);AI patents granted per year, identified via PATENTSCOPE AI Index methodology (1 SD = 115.66 patents -> Tobin Q +0.058, ~3% firm value);performance;ROA + firm value;;conditional;"small positive ROA effect, stronger for R&D-intensive firms; firm-value gains ONLY for firms with good sustainability metrics; stronger under Democratic administrations (political environment as condition)";AI innovation pays modestly and unevenly: R&D intensity, sustainability credentials and even the political climate condition whether markets reward it.;"Long panel; unusual political-context condition";final
2-s2.0-105031956591;S65;"Song X.; Hou W.; Ouyang Z.; Hao F.";2026;Finance Research Letters;2;10.1016/j.frl.2026.109684;Song_2026_j-frl-2026-109684.pdf;narrative economics / signaling;panel econometrics;"US firms 2018-2023; BERT-classified AI disclosures vs AI patent portfolios";USA;cross-industry;text-vs-patents gap (unsubstantiated AI claims = AI washing);performance;market reactions + long-term operational performance;;negative;"time path: short-lived positive investor reaction, then negative BHAR + sustained underperformance; substantiation gap (claims vs patents) is the treatment";AI talk without AI substance backfires: markets initially reward the narrative, then punish rhetoric that outpaces implementation.;"Complements Basnet (S27); disclosure-integrity condition | PROPOSED(batch): Focal treatment = AI overclaiming; its net/long-run effect is negative (markets punish) -> negative per main-effect rule";final
2-s2.0-105033231131;S66;"Ullah A.; Sun X.; Yalan W.; Ali A.";2026;International Journal of Information Management;2;10.1016/j.ijinfomgt.2026.103059;Ullah_2026_j-ijinfomgt-2026-103059.pdf;innovation diffusion theory;survey-SEM;"419 manufacturing firms; SEM + LSTM validation";China;manufacturing;survey construct (AI adoption);performance;organizational performance (survey scale);;positive;team dynamics, corporate innovation capabilities, high-commitment workforce (mediators/amplifiers of the AI-performance link);AI adoption converts into performance where cohesive teams, innovation capability and a committed workforce absorb it - human/organizational enablers unlock the value.;"Perceptual; LSTM validation gimmick - treat SEM results as primary";final
2-s2.0-105032363062;S67;"Wang S.; Zhang H.";2026;International Journal of Information Management;2;10.1016/j.ijinfomgt.2026.103057;Wang_2026_j-ijinfomgt-2026-103057.pdf;dynamic capability theory (information-driven resilience);mixed;"two-wave survey of 357 early-stage ventures (China + Europe); PLS-SEM + IPMA + fsQCA + interviews";China + Europe;early-stage ventures (cross-industry);survey construct (AI innovation capability);performance;entrepreneurial success (venture performance, survey scale);;conditional;"FULL mediation: strategic resilience fully accounts for AI capability -> success relationship (abstract: ""fully accounts""); fsQCA equifinal configurations to high performance";"AI capability makes ventures successful only via organizational resilience - the mechanism is organizational, not technological; multiple configurations lead there.";"Multi-method incl. fsQCA; full mediation is a strong conditional finding | PROPOSED(batch): Leoni class: mediation fully carries effect";final
